,analyst_estimated_eps,next_period
380,8.358415904761905,8.704111
381,8.383168,9.7949
382,1.619309473529412,1.11573965
383,8.358415904761905,8.704111
384,6.071515151515152,6.1
385,46.81792739130435,45.933104
386,3.020866,2.854528
387,11.68698843478261,11.847869
388,13.156988,14.974712
389,19.12681818181818,19.34
390,5.824459555555555,5.83101
391,2.8014083478260865,2.511311
392,16.261785714285715,16.34
393,2.0925235402298847,2.065465
394,2.971830923076923,2.804477
395,2.971830923076923,2.804477
396,0.4703580142857142,0.3650792
397,1.211282181818182,0.184512
398,4.406124411764706,4.115663
399,4.406124411764706,4.115663
400,11.878115333333332,12.157902
401,14.466075684210525,14.344104
402,3.5885185185185184,3.57
403,9.852962962962962,9.96
404,8.814177272727273,8.147027
405,8.606553,8.093353
406,2.455669842105263,2.493187
407,9.383529333333334,9.327306
408,9.851343137931035,10.013156
409,4.709375111111111,4.742467
410,9.383529333333334,9.327306
411,9.652747111111111,10.315912
412,7.848890000000001,7.650385
413,-5.4611350000000005,-12.150961
414,9.012786142857143,9.160881
415,9.012786142857143,9.160881
416,1.394765965789474,1.00078565
417,5.173571,5.165878
418,8.425343857142856,9.042449
419,9.012786142857143,9.160881
420,1.8912589259259258,1.921531
421,8.888173,8.534578
422,6.124444444444444,6.14
423,6.124444444444444,6.14
424,1.8912589259259258,1.906117
425,5.913550421052632,5.947314
426,12.393237000000001,13.216584
427,2.8434603333333333,2.658942
428,20.450000000000003,20.64
429,11.592652999999999,12.679191
430,16.930873428571427,17.798126
431,7.407963,7.238498
432,38.96302565217391,39.467714
433,16.553518,15.898081
434,16.553518,15.898081
435,3.1454146666666665,2.441248
436,6.100438666666666,6.225143
437,1.9769987011494252,1.687993
438,16.5325,16.65
439,1.2603147073170737,0.19199
440,0.3381210740740741,0.2959734
441,2.9534846153846153,2.842986
442,2.9534846153846153,2.842986
443,3.3920689655172414,3.58
444,3.822781470588235,3.490467
445,3.822781470588235,3.490467
446,11.712737666666666,12.388219
